Monroe,-77.7553,43.2562040453,Covert Cobblestone Farmhouse
Monroe,-77.7305,43.2301223945,Covert Cobblestone Farmhouse
Otsego,-74.9754,42.85189598,East Main Street Historic District
Wayne,-77.3129,43.0360026709,"Baker, J. & E., Cobblestone Farmhouse"
Orange,-74.2388,41.5052791983,"Pelton, Gideon, Farm"
Ulster,-74.2169,41.8334415405,"Markle, Jacob F., Stone House"
Ulster,-74.2387,41.8254399932,"Barley, Zachariah, Stone House"
Ulster,-74.2212,41.8170606012,Hornbeck Stone House
Ulster,-74.2106,41.8177705302,Krom Stone House and Dutch Barn
New York,-73.9478,40.8053156304,Mount Morris Park Historic District (Boundary Increase)
Albany,-73.8058,42.5133604542,"Ten Eyck, Tobias C., House and Cemeteries"
Cayuga,-76.4219,42.7156209807,North Main Street Historic District
Cayuga,-76.4187,42.7100825515,Church Street-Congress Street Historic District
Delaware,-74.453,42.3371887012,"Hardenbergh, Isaac, House"
Dutchess,-73.7654,41.834782644,"Tousey, Benjamin C., House (The Willows)"
Dutchess,-73.9327,41.7220207669,Rosenlund Estate Buildings
Essex,-74.1219,44.3422665035,Trudeau Sanitorium
Kings,-73.9902,40.6522466475,Green-Wood Cemetery
Monroe,-77.9287,43.2318547013,Clarkson Corners Historic District
Monroe,-77.3918,43.1277958757,"Phelps, Stephen, House"
Erie,-78.6985,42.4785086348,Scobey Power Plant
Nassau,-73.4692,40.861227499,Cold Spring Harbor Laboratory
New York,-73.9644,40.7667716638,"East 66th St., 131-135, East 67th St., 130-134, Apt. Bldgs. at"
New York,-74.0208,40.7274972177,Holland Tunnel
New York,-73.9417,40.8100788633,Astor Row Houses
Oneida,-75.209,43.0797719416,Utica Armory
Oneida,-75.2741,43.1303225863,"Neck Canal of 1730, The"
Onondaga,-76.1258,43.0417551706,Thornden Park
Onondaga,-76.1359,43.0306511275,Oakwood Cemetery
Ontario,-77.1342,42.9123953778,"Warner, Oliver, Farmstead"
Orange,-74.4297,41.4428057526,Hillside Cemetery
Orleans,-78.3876,43.2196613253,Main Street Historic District Expansion
Oswego,-76.2307,43.4749483826,Hamilton Farmstead
Otsego,-74.7678,42.8000087309,Lindesay Patent Rural Historic District
Otsego,-75.2472,42.5451315967,"Grove, The"
Putnam,-73.9492,41.3473376637,Manitoga (Russell Wright Estate)
Saratoga,-73.6347,42.9954085811,Saratoga National Historical Park
Saratoga,-73.7907,43.0841294631,West Side Historic District
Schoharie,-74.3119,42.663611542,Schoharie County Courthouse Complex
Schoharie,-74.614,42.7963554868,Sharon Springs Historic District
Sullivan,-74.9847,41.482526151,"Delaware and Hudson Canal, Roebling Aqueduct"
Ulster,-74.1916,41.8399154413,Kripplebush Historic District
Ulster,-74.1643,41.8211327592,Rest Plaus Historic District
Ulster,-74.2765,42.0518017814,Camp Wapanachki
Ulster,-74.1134,41.7261341381,"DuBois, Josiah, Farm"
Ulster,-74.2287,41.8210419624,Middaugh Stone House and Dutch Barn
Washington,-73.3118,43.5948463781,William Miller Farm Historic District
Yates,-77.0537,42.6917255774,"Woodworth, Abner, House"
Yates,-77.1141,42.6041835665,"Rose, Henry, House (Hampstead)"
Yates,-77.1558,42.5980290806,"Weaver, Solomon, House"
Yates,-77.137,42.5099208837,"Wagener, Abraham, House"
Yates,-77.161,42.6299014567,"Botsford, Samuel, House"
Yates,-77.1649,42.6560184805,"Wilkinson, Jemima, House (Friend House)"
Yates,-77.0987,42.6671208493,"Perry, Ezikial, House"
Yates,-77.1214,42.6025044388,Sill Tenant Cottage
Monroe,-77.6286,43.2098576743,Saint Bernard's Seminary
Yates,-77.3003,42.7263344151,"Green, Asahel, Farm"
