National Register of Historic Places,,,,,,,,,,
National Historic Landmarks Documentation,,,,,,,,,,
Note:  Not all NHLs have been digitized yet,,,,,,,,,,
,,,,,,,,,,
Reference,State,County,City,Resource,Address,Date Listed,,Text,,Photos
Number,,,,Name,,on NR,,Click me,,Click me
70000898,ALASKA              ,Kenai Peninsula         ,Kenai                               ,Church of the Assumption of the Virgin Mary                                                                             ,Mission and Overland Sts.                                                                                               ,19700510,http://pdfhost.focus.nps.gov/docs/nhls/text/70000898.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/70000898.PDF,Photos
66000955,ALASKA              ,Kenai Peninsula         ,Yukon Island                        ,Yukon Island Main Site                                                                                                  ,Address Restricted                                                                                                      ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000955.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000955.PDF,Photos
85002731,ALASKA              ,Kodiak Island           ,Kodiak                              ,Kodiak Naval Operating Base and Forts Greely and Abercrombie                                                            ,Address unknown                                                                                                         ,19850204,http://pdfhost.focus.nps.gov/docs/nhls/text/85002731.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/85002731.PDF,Photos
66000954,ALASKA              ,Kodiak Island           ,Kodiak                              ,Russian-American Company Magazin                                                                                        ,Main St. and Mission Rd.                                                                                                ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000954.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000954.PDF,Photos
72001541,ALASKA              ,Kodiak Island           ,Old Harbor                          ,Three Saints Site                                                                                                       ,Address Restricted                                                                                                      ,19720223,http://pdfhost.focus.nps.gov/docs/nhls/text/72001541.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/72001541.PDF,Photos
66000159,ALASKA              ,Nome                    ,Nome                                ,Anvil Creek Gold Discovery Site                                                                                         ,4.25 mi. N of Nome on Seward Peninsula at Anvil Creek                                                                   ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000159.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000159.PDF,Photos
78000535,ALASKA              ,Nome                    ,Nome                                ,Cape Nome Mining District Discovery Sites                                                                               ,Address unknown                                                                                                         ,19780602,http://pdfhost.focus.nps.gov/docs/nhls/text/78000535.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/78000535.PDF,Photos
66000158,ALASKA              ,Nome                    ,Cape Denbigh Peninsula              ,Iyatayet Site                                                                                                           ,Address Restricted                                                                                                      ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000158.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000158.PDF,Photos
66000161,ALASKA              ,Nome                    ,Wales                               ,Wales Sites                                                                                                             ,Address Restricted                                                                                                      ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000161.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000161.PDF,Photos
66000953,ALASKA              ,North Slope             ,Barrow                              ,Birnirk Site                                                                                                            ,Address Restricted                                                                                                      ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000953.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000953.PDF,Photos
